,0
45,Pukul 12.00 WIB: Rupiah Pangkas Penguatan di Rp 14.390/US$ 
46,"Tertimpa Aksi Ambil Untung, IHSG Ditutup Merah di Sesi 1"
47,Ini Faktor Yang Bisa Meredam Efek Tapering Ke Pasar Domestik
48,"Jeger! Harga Rights Issue Rp 4.082, Chandra Asri Bidik Rp15 T"
49,"Disidik Kejagung, Ini Kronologi Dugaan Korupsi BUMN Perindo!"
50,Siap-siap! Akhir Tahun Ini Gerai Waralaba Subway Buka di RI
51,"Berkat BI, Kurs Dolar Singapura Turun ke Bawah Rp 10.600 Lagi"
52,Pukul 11.00 WIB: Rupiah Masih Kuat di Rp 14.380/US$
53,"Gokil! Saham UVCR ARA Sebulan Beruntun, Sinyal Suspensi?"
54,Ada Harapan! Harga CPO Bisa Naik Dekati MYR 4.500/Ton
55,"Asing Bisa Kuasai 99% Saham Bank RI, tapi Ini Syarat dari OJK"
56,"Minta Tolong BI, Ada Kesulitan Tarik Utang Bu Sri Mulyani?"
57,Panin AM: Efek Tapering ke Saham Hanya Terjadi Saat Diumumkan
58,BI Ancang-ancang Naikkan Bunga Acuan Akhir Tahun Depan?
59,"Adu Nyali di Saham Bank Mini, Cuan Gokil atau Amsyong Ngenes!"
60,Pukul 10.00 WIB: Rupiah Kini di Rp 14.380/US$
61,"Wah! Perusahaan Panama Gugat Kejagung soal Asabri, Kenapa?"
62,"Rajin Borong Surat Utang, Apa Kabar Neraca BI? "
63,"Transformasi Digital &amp; Culture, Penyelamat BRI Saat Pandemi"
64,"Eits! Bitcoin Tergelincir, Cardano &amp; Ethereum Masih On Fire"
65,"Kebijakan Moneter Ekspansif, BI Ramal Tekanan Inflasi di 2023"
66,"Pelonggaran PPKM, Saham Emiten Mal hingga Restoran Melesat"
67,"Isu Tapering Sedikit Mereda, IHSG Siap Lanjutkan Penguatan"
68,Utang Sama BI Lebih Murah Ketimbang Lempar ke Pasar
69,"Tapering Diragukan! Dolar AS 'Dibuang', Rupiah Melenggang"
70,Alasan BI Borong Surat Utang Lagi: Panggilan Negara!
71,"PPKM Diperlonggar, IHSG Malah Galau &amp; Tak Pede Naik"
72,"Ada Burden Sharing, Sri Mulyani Jamin Kredibilitas Kebijakan"
73,"BI Masuk Private Placement, Lelang Surat Utang Berkurang?"
74,"OJK Ubah Aturan Modal, 36 Emiten Bank Terpaksa Turun Kasta"
75,Pembukaan Pasar: Joss! Rupiah Menguat ke Rp 14.370/US$
76,"Lo Kheng Hong 'Cecar' Manajemen Gajah Tunggal, Ada Apa yah?"
77,"Bursa Asia Bergerak Hijau Serentak, Kospi Menguat 1% Lebih"
78,"Ngamuk 955%, Saham Media Erick Thohir 'Digembok' Bursa!"
79,"Jokowi Longgarkan PPKM, Cek 8 Kabar Pasar Sebelum Trading!"
80,"Jreng! Satgas BLBI Panggil Tommy Soeharto, Ini Soal Rp 2,61 T"
81,"Belanja APBN Dibayarin BI, Rencana SBN Tak Berubah!"
82,Perry Warjiyo: Burden Sharing Tidak Ganggu Independensi BI
83,BI Masih Jadi 'Juru Selamat' RI dari Tumpukan Beban Utang
84,"Cuan di Depan Mata, Yuk Simak Saham Pilihan untuk Hari Ini"
85,"Bangkit! Usai Ambles 4%, Harga Batu Bara Melonjak 1% Lebih"
86,"Rupiah Bakal Perkasa Hari Ini, Ada Keraguan Soal Tapering"
87,"Ada White Marubozu &amp; PPKM Turun Level, IHSG Siap Melambung!"
88,"Habis Rontok Sampai 10%, Harga Minyak Melesat 5% Pagi Ini"
89,Penjelasan Sri Mulyani Kenapa Masih Butuh 'Uang' BI di 2022
90,"Fenomenal! Emiten Judi Cuan, Omzet Emiten Kencan juga Melejit"
91,"Rupiah Bisa Menguat Hari Ini, Semangat!"
92,"Dikuasai Taliban, Apa Kabar Proyek BUMN RI di Afghanistan?"
93,Jangan Kaget Emas Terbang Pekan Ini! Begini Ramalan Para Ahli
94,Kok Bisa 4 Bank Kakap RI Jadi 'Turun Kelas'? 
95,Harga Emas Naik Pagi Ini! Tapi Awas Jumat Bisa Jeblok Lagi...
96,"PPKM Longgar hingga Wall Street Melesat, IHSG to The Moon?"
97,"Saham Vaksin Terkerek, Dow Jones Dibuka Melompat 204 Poin"
98,Dow Futures Menguat Mengantisipasi Penundaan Tapering
99,Telkom Tingkatkan Adaptasi &amp; Kreativitas Digital di Kampus RI
100,"Kasus Covid-19 RI Terus Melandai, Yield SBN Kembali Menguat"
101,"Kejagung Cecar 12 Saksi Asabri, Dapenbun hingga Bumiputera!"
102,"Saham Ritel Ponsel Ini Mau Delisting, Efek Disalip Ecommerce?"
103,"OJK: Aturan KBMI, Modal Inti Bank Tak Wajib Naik Jadi Rp 6 T"
104,Sprindik Terbit! Kejagung Sidik Dugaan Korupsi Perum Perindo
105,"Diskon PPnBM 100% Berakhir Agustus 2021, Ini Harapan Gaikindo"
106,IHSG Meroket! Asing Buru BCA-Bukalapak &amp; Lepas EMTK-ASII
107,"Bursa Asia Beterbangan, IHSG-KOSPI Melesat! Hanya STI Melemah"
108,"RUPSLB Bank Capital 25 Agustus, Siapa Serap Rights Issue-nya?"
109,Gaikindo: Everybody Happy Dengan Diskon PPnBM 100%
110,"Tunggu Tanggal Main, OJK Akan Beberkan Panduan Bank Digital"
111,"FYI, Tapering 2013-2015 Bikin Dolar Rp9.700 Jadi Rp14.700..."
112,"Dear Investor Ritel! Asing Masuk, Saham Bukalapak Mencuat 5%"
113,"Duo Saham Bank Mini Melambung, REAL-IMAS Tersungkur!"
114,Emiten Luhut Lepas Saham Pembangkit ke Arifin Panigoro Rp 1 T
115,"Bantu Jokowi, BI Bakal Beli SBN Rp 224 T Tahun Depan!"
116,"Berlanjut Hingga 2022, Ini Aturan Lengkap Burden Sharing!"
117,"OJK Ungkap Jalan Panjang Aturan Bank Digital, Definisi Clear!"
118,"Menguat Lebih Dari 1%, IHSG Kembali ke Level 6.100-an"
119,"Dolar AS Tanpa Perlawanan, Rupiah Menguat Tajam"
120,"Balas Dendam, IHSG Ditutup Melesat 1% Lebih &amp; di Atas 6.100"
121,"Izin DPR, Pemerintah Minta (Lagi) Bantuan BI Beli SBN di 2022"
122,BUMI Komitmen Penuhi Pasokan Batu Bara PLN
123,"Dicecar Bursa soal Grup Salim, Ini Jawaban Manajemen Medco!"
124,"Istimewa! Di Kurs Tengah BI dan Pasar Spot, Rupiah Berjaya"
125,Bursa Siap Depak 4 Emiten 'Gurem' Ini dari Papan Perdagangan!
126,Penutupan Pasar: Rupiah Menguat ke Rp 14.410/US$
127,"Soal Penghapusan Bank BUKU, OJK: Tak Ada Bank Turun Kelas!"
128,"Perbesar Peluang Rebound, Bursa Eropa Menguat di Pembukaan"
129,"Isu Tapering, Rupiah Diproyeksi Dikisaran Rp 14.300-14.400/US"
130,Pukul 14.00 WIB: Rupiah Masih di Rp 14.410/US$
131,"Dikhawatirkan Pasar, Tapering Disebut Paling Cepat Awal 2022"
132,Laju Penguatan Dolar Singapura Tertahan di Rp 10.600
133,"IHSG Sebulan Drop, Asing Malah Serok Rp 2,5 T, Ini Buruannya!"
134,"Ditinggal Gojek-Tokopedia-Blibli, Omzet Emiten KIOS Drop 79%"
135,Harga Bitcoin Terus Melonjak Tinggi
136,"Emiten TOBA Dapat Proyek dari BP Batam, Berapa Duit?"
137,Kelas Literasi Investasi OJK
138,Pukul 13.00 WIB: Rupiah Tertahan di Rp 14.410/US$
139,"Kripto 'Receh' juga Masih On Fire, Ada yang Melesat 165%"
140,"Joss! Bitcoin Sentuh Harga Rp 720 Juta, Tertinggi 3 Bulan"
141,"Jalan Lapang Tanpa Hambatan, IHSG Siap Balik 6.100 di Sesi 2"
142,"Saham MLPL-BBYB Melejit, Saham REAL-BBKP Kompak Ambles!"
143,"Saham DCII Anthoni Salim Keluar dari Big Cap, BCA Kokoh!"
144,"Rupiah Perkasa, tapi Malu-Malu Tembus ke Bawah Rp 14.400/US$"
145,Membentuk Generation Wealth Masa Depan Bersama BRI Prioritas
146,"Diramal Makin Anjlok, Dolar Australia Bisa ke Rp 10.000 nih? "
147,Pukul 12:00 WIB: Rupiah Masih di Rp 14.410/US$
148,"Konsisten Menghijau, IHSG Berakhir pada 6.086,836 di Sesi 1"
149,Bersiap! Deretan Bank Mini Ini Bakal Punya Investor Baru
150,"Kas Seret-Jual Aset, Induk Sariayu Rugi Rp 50 M di Semester I"
151,"Wika Realty Mulai Terima Pengalihan Aset Hotel BUMN Rp 3,2 T"
152,Raih Merdeka Finansial Bersama BRI Wealth Management 
153,Duh! Waktu IPO GoTo Masih Belum Bisa Ditentukan
154,"Harga CPO Turun Lagi, Lagi, Lagi, Lagi..."
155,Erick Thohir Bicara Soal Daging &amp; Ayam: Saya tidak Anti Impor
156,Pukul 11.00 WIB: Rupiah Menguat ke Rp 14.400/US$
157,"Disuntik PMN Rp 7,9 T, Waskita Rampungkan 7 Ruas Tol"
158,"Jokowi Resmikan Tol Pulo Gebang, Saham Konstruksi 'Ngamuk'!"
159,"Akhirnya Asabri Cabut dari BBYB Milik Akulaku! Sisa 0,53%"
160,"Taliban Berkuasa, Gimana Nasib Proyek BUMN RI di Afghanistan?"
161,Ini Loh Penyebab Impor BBM &amp; LPG RI Terus Naik!
162,Pukul 10.00 WIB: Rupiah Masih Kuat di Rp 14.410/US$
163,Mulai Tergoda &amp; FOMO ke Kripto Lagi? Cek Harganya Pagi Ini
164,IHSG Awal Pekan Diproyeksi Menguat di Tengah Isu Tapering
165,"Founder Bukalapak Buka Lowongan Kerja, Mau Buat Unicorn Baru?"
166,Terkuak! Alasan Singapura 'Kuasai' GoTo-Bukalapak-Shopee cs
167,"Di Luar Dugaan, Rupiah Perkasa Nyaris ke Bawah Rp 14.400/US$!"
168,"Sempat Dibanting, Aturan OJK Bikin Saham Bank Mini Liar Lagi"
169,"Ada Perusahaan Perhotelan IPO Saat Pandemi, Cek Jeroannya!"
170,IHSG Hijau Sambil Menanti Keputusan PPKM Lanjut atau Tidak
171,"Bahaya, Harga Batu Bara Anjlok 2% Lebih!"
172,Pembukaan Pasar: Rupiah Menguat ke Rp 14.410/US$
173,"Bursa Asia Bangkit, Nikkei-Hang Seng Melesat"
174,"PPKM Mau Berakhir, Pantengin Saham-saham Prospek Cuan!"
175,"Tapering Bikin Cemas, Gerak IHSG Bakal Terbatas Nih"
176,"Wow! Telkom Kolaborasi dengan Microsoft, Bikin Proyek Apa?"
177,"Minggu Lalu Ambrol, Harga Minyak Bangkit Pagi Ini"
178,"Sebelum Trading, Simak Dulu 8 Aksi Korporasi buat Cari Cuan!"
179,"Duh...4 Bank Kakap RI Bakal Turun Kelas, Begini Kinerjanya!"
180,"Kasus Covid di RI Turun Drastis, IHSG Bisa Balik ke 6.100 Nih"
181,"Waspada! Rupiah Dalam Tekanan, Ada Peluang Lanjut Melemah"
182,"Saham Kena UMA Efek Yusuf Mansur, Ini Penjelasan Bos REAL"
183,"Harga Emas Turun Pagi Ini, Nanti? Turun Lagi!"
184,"Mohon Maaf, Rupiah Kayaknya Lesu Lagi Hari Ini..."
185,Ingat Krisis Taper Tantrum? Arah Angin RI Kini Menuju ke Sana
186,"Lesu Sepekan, Bagaimana Rupiah ke Depan? Simak Penjelasan BI"
187,Bukan Saham! Ternyata Ini Jurus Warren Buffett saat Inflasi
188,"Pekan Lalu Loyo, Minggu Ini IHSG Bisa 'Balas Dendam'?"
189,"Cek Gan! Ini Proyeksi Harga Emas Dunia Pekan Ini, Masih Ngeri"
190,Sentimen-Sentimen Pasar Pekan Depan Bisa Bikin Geleng-Geleng!
191,Strategi Investasi MI di Saham Sektor Teknologi 
192,Investasi Cuan ala Warren Buffett Saat Risiko Inflasi Tinggi
193,"Genjot KUR BNI buat Petani Porang, Kredit Langsung Cair!"
194,"Sepekan Anjlok 5%, Gawat...Harga CPO Ambles Lagi Pekan Depan?"
195,Ini Amunisi RI Tekan Efek Tapering ke Pasar Domestik 
196,"Ada Aksi Keruk Cuan, Harga Batu Bara Anjlok hampir 5% Sepekan"
197,Fakta-fakta Harga Tes Swab PCR Dipangkas Jadi Rp 495.000
198,Kocok Ulang Klasifikasi Bank 
199,"'Dihajar' Sentimen Negatif, Harga Minyak Anjlok 8% Sepekan"
200,Terungkap! Ada Singapura di Balik Bukalapak-GoTo-Shopee
201,"Harga Bitcoin cs Bergairah Sepekan, Ada yang Meroket 138%"
202,Bank Modal Kecil Paling Terimbas Perubahan Aturan BUKU Bank
203,TelkomGroup Optimalkan Penayangan Perayaan HUT ke-76 RI
204,"Perkuat Layanan 5G, Sektor Menara Harap Kemudahan Perizinan"
205,"Masih di Tahap Awal, Ini Tantangan Bisnis Bank Digital RI"
206,"Beban Utang Pemerintah Turun! Nggak Percaya, Ini Buktinya..."
207,"Dolar AS Terlalu Perkasa, Rupiah Sepekan Ini Sulit Bernafas"
208,Simak! Deretan Saham Juara dan Terburuk Pekan Ini
209,"Akhir 2021, BIRD Targetkan Capai 70% Level Bisnis Pra-Pandemi"
210,"Selamat Kripto Lovers! Bitcoin Melesat 4%, Ripple Nanjak 14%"
211,"Sempat Jatuh Imbas Tapering, Begini Pergerakan IHSG Sepekan! "
212,"Buka Rekening Kartu Prakerja, BNI Kasih Hadiah Motor &amp; Laptop"
213,"Dolar AS Berjaya, Rupiah dan Mata Uang Asia Tak Berdaya"
214,"IHSG Ambrol Nyaris 2% Minggu Ini, Apa Biang Keroknya?"
215,"Ini Ramalan Harga Emas Minggu Depan! Masih Ngeri, Gan..."
216,Tak Disangka! Harga Emas Jatuh dan Diramal Bisa Lebih Buruk
217,"Taper Tantrum Reda, Wall Street Perkasa"
218,"Bisnis Aviasi Lesu, GMF Urus Pembangkit &amp; Pesawat Presiden"
219,"Sentimen Membaik, Wall Street Dibuka Berayun ke Zona Hijau"
220,"Masih Didera Kecemasan Seputar Tapering, Dow Futures Melemah "
221,Akhirnya! Surat Dakwaan 13 Tersangka MI 'Dioper' ke PN Jakpus
222,"Transaksi Berjalan RI Defisit, Yield SBN Ditutup Beragam"
223,"Perusahaan IT Global Sukses Mau IPO, Cek Harga &amp; Jadwalnya!"
224,Staf Erick Thohir Ungkap Dampak Besar Holding Ultra Mikro!
225,"Indeks Dolar AS Terbang Tinggi, Cash is The King Kembali?"
226,"Akhir Pekan Asing Buru Saham BBCA-TLKM, Lepas BBRI-ASII"
227,MI Optimistis Tapering Tak Berimbas Besar ke Pasar Domestik 
228,"Mayoritas Bursa Asia Berjatuhan, hanya STI-IHSG yang Selamat"
229,Sah! Asisten Khusus Menteri KKP Jadi Komisaris GMF AeroAsia
230,Tapering Tekan Nilai Tukar Rupiah
231,"Menanti Janji Manis! Naik Sehari, Saham Bukalapak Merah Lagi"
232,"Duo Indomobil 'Tancap Gas', Saham Bukalapak-Acset Ambles!"
233, IHSG Tutup Perdagangan Akhir Pekan di Zona Hijau
234,Bursa Eropa Melemah Tipis di Sesi Awal Perdagangan
235,"Rupiah di Level Terlemah Sepanjang Agustus, Ini Penyebabnya!"
236,"Asing Borong Saham Rp 293 M, IHSG Sukses Balik ke 6.000-an"
237,"Di Kurs Tengah BI &amp; Pasar Spot, Rupiah Kompak Melemah 0,35%"
238,Ngeri Emas Ambrol? Baca Dulu Ramalan Para Analis Top Ini
239,"Saham EMTK-SCMA Drop Sebulan, Harta Sariatmadja Susut Berapa?"
240,"Laba 'Raksasa' Rokok RI Anjlok, Pengusaha Teriak soal Pajak"
241,Penutupan Pasar: Rupiah Melemah ke Rp 14.450/US$
242,"Sahamnya Diborong Yusuf Mansur Rp 30 M, REAL Dicecar Bursa!"
243," Platform Mata Uang Kripto Diretas, USD 80 Juta Dicuri Hacker"
244,"Tiba-tiba 5 Saham Ini Meroket 2 Digit di Sesi II, Ada Apa?"
245,"Sepekan Ambrol 2,5%, Dolar Australia Makin Murah Terus! "
246,Startup Lokal Go Global Ala Kredivo
247,Pukul 14.00 WIB: Rupiah Melemah ke Rp 14.460/US$
248,"Naik Tajam, Kurs Dolar Singapura Tembus Rp 10.600"
249,Semangat! Rupiah Berusaha Bangkit Meski NPI Defisit
250,"Taper Tantrum Bikin Geger, ke Mana Nasib Rupiah Bakal Dibawa?"
251,"Terkuak! BNBA Siap Umumkan Investor Baru, Saham Tembus ARA"
252,"Harga CPO Turun Lagi, Lagi &amp; Lagi! Saatnya Tinggalkan Kapal?"
253,"Sesi I, IHSG Berhasil Kembali ke Level Psikologis 6.000"
254,Pukul 13.00 WIB: Rupiah Melemah ke Rp 14.350/US$ 
255,"Bursa Kripto Jepang Dibobol, Aset Rp 1,4 T Digondol Hacker"
256,Potret Wanita Tambang Tangguh Kendarai Dump Truck Raksasa
257,Ini Strategi BRI Dukung Pengembangan Ekosistem Padi
258,Revolusioner! OJK Bisa Berikan Izin Instan Buat Produk Bank
259,"Gak Cuma Tapering, Ini Masalah yang Ditakutkan Para Investor"
260,"Semesta Mendukung, Sesi 2 IHSG Siap 'OTW ke Bulan'"
261,"Dear Investor, Ada 27 Perusahaan Antre Jadi Emiten di BEI"
262,"Ada Yusuf Mansur, REAL-Daarul Qur'an Garap Proyek Rp 825 M"
263,Ekonom: Efek Tapering ke Pasar Domestik Tak Sebesar 2013
264,Pukul 12.00 WIB: Rupiah Masih Lemah di Rp 14.435/US$
265,"Saham BNBA-BGTG Melejit, Saat HKMU-ADRO Ambles"
266,"Berkat Reli Bank Digital, IHSG Sesi 1 Bertahan di Zona Hijau"
267,"Bayar Utang, Emiten Sandi Uno Catatkan Obligasi Rp 1,2 T"
268,Sah! Erick Thohir Angkat Wamenhan Jadi Komut Len Industri
269,"Sudah 76 Tahun Merdeka, Indonesia Masih Tergantung Asing!"
270,"Sinergi Ekosistem, Kinerja Holding Ultra Mikro Makin Moncer"
271,"Siap Jualan Jaguar Land Rover, Saham Grup Indomobil 'Ngamuk'!"
272,Pukul 11.00 WIB: Rupiah Pangkas Pelemahan ke Rp 14.435/US$
273,End Game! Grup Bosowa Cabut Tuntutan ke Kookmin dan OJK
274,"Perluas Bisnis, Kredivo Siap Melantai di Bursa AS"
275,Sayonara Bank BUKU! 4 Bank Ini Bakal Terlempar dari Top Tier
276,"Kripto Semarak Lagi, Harga Cardano Meroket hampir 15% Gan!"
277,"CAD 0,8% PDB, Neraca Pembayaran RI Minus US$ 0,4 Miliar"
278,IHSG Sempat Rebound! Asing Ternyata Borong Saham-saham Ini
279,Pukul 10.00 WIB: Rupiah Melemah ke Rp 14.465/US$
280,"Dibuka di Zona Merah, IHSG Diproyeksi Lanjutkan Pelemahan"
281,"Proyek Lintasan Sirkuit Mandalika 4,3 KM Kelar, Balapan 2022?"
282,Kena PHP! Saham Bukalapak Tumbang Lagi Dekati Harga IPO
283,"Pegangan! Efek Bank Digital, Saham Bank Mini Kompak Terbang"
284,Bos Schroders Buka-bukaan Efek Tapering hingga Outlook Global
285,Mohon Doanya Pemirsa! Rupiah Mulai Dekati Rp 14.500/US$
286,"Bak Film Warkop, BI Maju Kena-Mundur Kena..."
287,"Tunggu Rilis Data CAD, IHSG Dibuka 'Longsor' Lagi!"
288,"Awas! Saham REAL Yusuf Mansur Kena UMA, Suspensi BOLA Dibuka"
289,Pembukaan Pasar: Rupiah Merosot ke Rp 14.450/US$
290,Astaga! Harga Batu Bara Rontok 2% Lebih...
291,"Simak 9 Kabar 'Hot' Pasar Saham, Ada Bank Digital hingga KFC!"
292,"Bursa Asia Dibuka Beragam, Hang Seng-Shanghai Melemah"
293,"Usai Jatuh, Harga Minyak Bangkit! Tapi Tak Bisa Banyak..."
294,"Siap-siap 'Perang' Bank Digital, Cek Kinerja Saham-sahamnya!"
295,Kemarin IHSG Ambruk! Ini Bocoran Saham-saham Potensi Cuan
296,"Ditahan MA 200 Saat Ambrol 2%, IHSG Berpotensi Rebound!"
297,"Hawa Taper Tantrum Mulai Terasa, Rupiah Menuju Rp 14.500/US$?"
298,"Waspada, Rupiah Rasanya Masih Akan Melemah"
299,"Bisnis Properti Diramal 'Boom', Sahamnya Oke atau Nyungsep?"
300,"Ramalan Harga Emas Hari Ini: Turun, Turun, dan Turun..."
301,Mau Jadi Bank Digital RI? Catat Deretan Syarat-syarat OJK Ini
302,"Tak Selamanya Buruk, 'Hantu' CAD Bisa Bantu IHSG Bangkit"
303,"Lagi-lagi Ada Kabar Buruk untuk Emas, Jangan Kaget yah!"
304,Data Klaim Pengangguran Kurangi Laju Koreksi Dow di Pembukaan
305,"Bos BI: Suku Bunga Kredit Perbankan Turun, Termasuk KPR"
306,"Jumlah Penumpang Drop, Garuda Tunggu Rute Umrah Dibuka"
307,"Kecemasan Taper Tantrum Masih Ada, Dow Futures Drop 330 Poin"
308,Eks DGS BI: Sudah Tidak Ada Ruang Penurunan BI7DRR
309,"Pasar Saham Global Berjatuhan, SBN Kembali Diburu Investor"
310,"Berentet! Kejagung Cecar 29 Saksi Asabri, Bos Panin-Victoria"
311,"Berlaku 1 September 2021, Ini Instrumen Khusus BI untuk UMKM"
312,Begini Upaya Konservasi Air yang Dilakukan Bumi Resources
313,"Rupiah Bakal Baik-baik Saja di Tengah Isu Tapering, Apa Iya?"
314,"OJK Ubah Penilaian Pihak Utama Jasa Keuangan, Ini Tujuannya!"
315,OJK Bisa Percepat Penilaian Pihak Utama Lembaga Jasa Keuangan
316,"Waspada Tipu-tipu Lowongan Kerja BUMN, Cek Fakta Ini Dulu!"
317,Bos Schroders Ungkap Efek Taper Tantrum ke IHSG
318,"Tapering Dimulai Tahun Ini, Bursa Asia Ditutup Berjatuhan"
319,"Heroik! 5 Hari Tumbang, Akhirnya Bukalapak Terbang Nyaris 8%"
320,"Mantap! Laba Tugu Insurance Melesat 44,7% di Semester I-2021"
321,"Wow! Bakal Ada Kawasan Baru di Hambalang, Proyeknya Rp 14 T"
322,"IHSG Tumbang 2%, Duh 15 Saham Kena ARB!"
323,Siapkah RI Hadapi Tapering? Ini Pandangan Mirza Adityaswara
324,"Alasan BI Pertahankan BI 7-Day Reverse Repo Rate di 3,5%"
325,"Pantes IHSG Jatuh! Asing Lepas BBRI-BMRI, Jualan UNVR-ARTO"
326,Saham Yusuf Mansur &amp; Salim Jadi Jawara Saat IHSG Anjlok 2%
327,"'Jurus' BI Masih Kalah Dari Isu Tapering, Rupiah Keok Lagi"
328,"Waduh! Taliban Berkuasa, Mata Uang Afghanistan 'Terjun Bebas'"
329,"BI Punya Jurus Lawan Tapering, tapi Rupiah Keok di Jisdor"
330,"Semester I-2021 MIND ID Catatkan Laba Bersih Rp 4,85 Triliun"
331,Telkom &amp; Microsoft Akselerasi Transformasi Digital di RI
332,"Takut Tapering! IHSG Longsor 2%, Keluar dari Level 6.000"
333,"Ambles Lebih dari 2%, IHSG Tinggalkan Level 6.000"
334,Sah! OJK Ganti Aturan Bank BUKU Menjadi KBMI
335,"Makin Murah, Kurs Dolar Singapura Kini Dekati Rp 10.530"
336,"Tapering Fed Terindikasi Tahun Ini, Bursa Eropa Dibuka Drop"
337,"Resmi! OJK Rilis 3 Aturan Baru Jasa Keuangan, Cek Rinciannya"
338,"OJK Ubah Syarat Modal Pendirian Bank di RI, Minimal Rp 10 T"
339,Resmi! Ini Perincian Peraturan Baru OJK soal Bank Digital
340,Akankah BI Borong Surat Utang Pemerintah Tahun Depan?
341,Penutupan Pasar: Rupiah Melemah ke Rp 14.400/US$
342,"Mengejutkan! Laba Pizza Hut Meroket 201%, Omzet Masih Drop"
343,"Simak, BI Sudah Punya Jurus Hadapi Tapering The Fed!"
344,Tenang! Bos BI: Dampak Tapering AS Tak Akan Seburuk 2013
345,Relaksasi OJK: Lapkeu Emiten Kini Berlaku hingga 8 Bulan!
346,Simak! Aturan Baru OJK Terkait Relaksasi Private Placement
347,"BI Tahan Suku Bunga Acuan di Level 3,5%"
348,"Tahun Ini, BI Sudah 'Suntik' Likuiditas Rp 114,15 Triliun"
349,"Siap IPO, GTS Internasional Milik Humpuss Cari Dana Rp 429 M"
350,"Demi Rupiah, BI Tahan Bunga Acuan di 3,5%"
351,"Saham Bank BUKU IV Rontok, Bikin IHSG Ambles 2% Lebih"
352,Nyungsep! Kurs Dolar Australia Kini Sentuh Rp 10.350
353,"'Ketidakpastian Global Menurun, Aliran Modal Asing Deras'"
